name,class,country,year
Tuscaloosa,New Orleans-class Heavy Cruiser,United States,1933
Type B-class Summary Information,Type B-class Midget Submarine,Japan,
Type C-class Summary Information,Type C-class Midget Submarine,Japan,
Type D-class Summary Information,Type D-class Midget Submarine,Japan,
Type XXVII-class Summary Information,Type XXVII-class Midget Submarine,Germany,
U-1,Type II-class Submarine,Germany,1935
U-10,Type II-class Submarine,Germany,1935
U-100,Type VII-class Submarine,Germany,1940
U-101,Type VII-class Submarine,Germany,1940
U-1011,Type VII-class Submarine,Germany,
U-102,Type VII-class Submarine,Germany,1940
U-103,Type IX-class Submarine,Germany,1940
U-104,Type IX-class Submarine,Germany,1940
U-105,Type IX-class Submarine,Germany,1940
U-1059,Type VII-class Submarine,Germany,1943
U-106,Type IX-class Submarine,Germany,1940
U-107,Type IX-class Submarine,Germany,1940
U-108,Type IX-class Submarine,Germany,1940
U-109,Type IX-class Submarine,Germany,1940
U-11,Type II-class Submarine,Germany,1935
U-110,Type IX-class Submarine,Germany,1940
U-111,Type IX-class Submarine,Germany,1940
U-112 (Planned),Type XI-class Submarine,Germany,
U-113 (Planned),Type XI-class Submarine,Germany,
U-1133,Type VII-class Submarine,Germany,
U-1134,Type VII-class Submarine,Germany,
U-1135,Type VII-class Submarine,Germany,
U-114 (Planned),Type XI-class Submarine,Germany,
U-115 (Planned),Type XI-class Submarine,Germany,
U-116,Type X-class Minelaying Submarine,Germany,
U-117,Type X-class Minelaying Submarine,Germany,
U-118,Type X-class Minelaying Submarine,Germany,
U-119,Type X-class Minelaying Submarine,Germany,
U-12,Type II-class Submarine,Germany,1935
U-120,Type II-class Submarine,Germany,1940
U-121,Type II-class Submarine,Germany,1940
U-122,Type IX-class Submarine,Germany,1939
U-123,Type IX-class Submarine,Germany,1940
U-1233,Type IX-class Submarine,Germany,1943
U-1234,Type IX-class Submarine,Germany,1944
U-1235,Type IX-class Submarine,Germany,
U-1239,Type IX-class Submarine,Germany,
U-124,Type IX-class Submarine,Germany,1940
U-1240,Type IX-class Submarine,Germany,
U-125,Type IX-class Submarine,Germany,1940
U-126,Type IX-class Submarine,Germany,
U-127,Type IX-class Submarine,Germany,
U-128,Type IX-class Submarine,Germany,
U-1280,Type VII-class Submarine,Germany,
U-1282,Type VII-class Submarine,Germany,
U-129,Type IX-class Submarine,Germany,
U-13,Type II-class Submarine,Germany,1935
U-130,Type IX-class Submarine,Germany,
U-131,Type IX-class Submarine,Germany,
U-132,Type VII-class Submarine,Germany,1941
U-133,Type VII-class Submarine,Germany,
U-134,Type VII-class Submarine,Germany,1941
U-135,Type VII-class Submarine,Germany,1941
U-136,Type VII-class Submarine,Germany,1941
U-137,Type II-class Submarine,Germany,1940
U-138,Type II-class Submarine,Germany,1940
U-139,Type II-class Submarine,Germany,1940
U-14,Type II-class Submarine,Germany,1935
U-140,Type II-class Submarine,Germany,1940
U-141,Type II-class Submarine,Germany,1940
U-142,Type II-class Submarine,Germany,1940
U-143,Type II-class Submarine,Germany,1940
U-144,Type II-class Submarine,Germany,1940
U-145,Type II-class Submarine,Germany,1940
U-146,Type II-class Submarine,Germany,1940
U-147,Type II-class Submarine,Germany,1940
U-148,Type II-class Submarine,Germany,1940
U-149,Type II-class Submarine,Germany,1940
U-15,Type II-class Submarine,Germany,1936
U-150,Type II-class Submarine,Germany,1940
U-151,Type II-class Submarine,Germany,1940
U-152,Type II-class Submarine,Germany,1940
U-153,Type IX-class Submarine,Germany,1941
U-154,Type IX-class Submarine,Germany,1941
U-155,Type IX-class Submarine,Germany,1941
U-156,Type IX-class Submarine,Germany,1941
U-157,Type IX-class Submarine,Germany,1941
U-158,Type IX-class Submarine,Germany,1941
U-159,Type IX-class Submarine,Germany,1941
U-16,Type II-class Submarine,Germany,1936
U-160,Type IX-class Submarine,Germany,
U-161,Type IX-class Submarine,Germany,1941
U-162,Type IX-class Submarine,Germany,1941
U-163,Type IX-class Submarine,Germany,1941
U-164,Type IX-class Submarine,Germany,1941
U-165,Type IX-class Submarine,Germany,
U-166,Type IX-class Submarine,Germany,1941
U-167,Type IX-class Submarine,Germany,1942
U-168,Type IX-class Submarine,Germany,1942
U-169,Type IX-class Submarine,Germany,
U-17,Type II-class Submarine,Germany,1935
U-170,Type IX-class Submarine,Germany,
U-171,Type IX-class Submarine,Germany,1941
U-172,Type IX-class Submarine,Germany,1941
U-173,Type IX-class Submarine,Germany,1941
U-174,Type IX-class Submarine,Germany,1941
U-175,Type IX-class Submarine,Germany,1941
U-176,Type IX-class Submarine,Germany,1941
U-177,Type IX-class Submarine,Germany,1941
U-178,Type IX-class Submarine,Germany,1941
U-179,Type IX-class Submarine,Germany,1941
U-18,Type II-class Submarine,Germany,1935
U-180,Type IX-class Submarine,Germany,1941
U-181,Type IX-class Submarine,Germany,1941
U-182,Type IX-class Submarine,Germany,1942
U-183,Type IX-class Submarine,Germany,
U-184,Type IX-class Submarine,Germany,1942
U-185,Type IX-class Submarine,Germany,
U-186,Type IX-class Submarine,Germany,
U-187,Type IX-class Submarine,Germany,1942
U-188,Type IX-class Submarine,Germany,1942
U-189,Type IX-class Submarine,Germany,1942
U-19,Type II-class Submarine,Germany,1935
U-190,Type IX-class Submarine,Germany,1942
U-191,Type IX-class Submarine,Germany,1942
U-192,Type IX-class Submarine,Germany,
U-193,Type IX-class Submarine,Germany,
U-194,Type IX-class Submarine,Germany,
U-195,Type IX-class Submarine,Germany,
U-196,Type IX-class Submarine,Germany,
U-197,Type IX-class Submarine,Germany,1942
U-198,Type IX-class Submarine,Germany,0
U-199,Type IX-class Submarine,Germany,
U-2,Type II-class Submarine,Germany,1935
U-20,Type II-class Submarine,Germany,1936
U-200,Type IX-class Submarine,Germany,
U-201,Type VII-class Submarine,Germany,1940
U-202,Type VII-class Submarine,Germany,1941
U-203,Type VII-class Submarine,Germany,1941
U-204,Type VII-class Submarine,Germany,1941
U-205,Type VII-class Submarine,Germany,1941
U-206,Type VII-class Submarine,Germany,1941
U-207,Type VII-class Submarine,Germany,1941
U-208,Type VII-class Submarine,Germany,1941
U-209,Type VII-class Submarine,Germany,
U-21,Type II-class Submarine,Germany,1936
U-210,Type VII-class Submarine,Germany,
U-211,Type VII-class Submarine,Germany,
U-212,Type VII-class Submarine,Germany,
U-213,Type VII-class Submarine,Germany,1941
U-214,Type VII-class Submarine,Germany,1941
U-215,Type VII-class Submarine,Germany,
U-216,Type VII-class Submarine,Germany,
U-217,Type VII-class Submarine,Germany,
U-218,Type VII-class Submarine,Germany,
U-22,Type II-class Submarine,Germany,1936
U-226,Type VII-class Submarine,Germany,
U-228,Type VII-class Submarine,Germany,
U-23,Type II-class Submarine,Germany,1936
U-2321,Type XXIII-class Submarine,Germany,
U-2322,Type XXIII-class Submarine,Germany,
U-2323,Type XXIII-class Submarine,Germany,
U-2324,Type XXIII-class Submarine,Germany,
U-2325,Type XXIII-class Submarine,Germany,
U-2326,Type XXIII-class Submarine,Germany,
U-235,Type VII-class Submarine,Germany,
U-238,Type VII-class Submarine,Germany,
U-239,Type VII-class Submarine,Germany,
U-24,Type II-class Submarine,Germany,1936
U-240,Type VII-class Submarine,Germany,
U-241,Type VII-class Submarine,Germany,
U-249,Type VII-class Submarine,Germany,
U-25,Type I-class Submarine,Germany,1936
U-2501,Type XXI-class Submarine,Germany,1944
U-251,Type VII-class Submarine,Germany,
U-2549,Type XXI-class Submarine,Germany,
U-26,Type I-class Submarine,Germany,1936
U-27,Type VII-class Submarine,Germany,1936
U-28,Type VII-class Submarine,Germany,1936
U-287,Type VII-class Submarine,Germany,
U-29,Type VII-class Submarine,Germany,1936
U-3,Type II-class Submarine,Germany,1935
U-30,Type VII-class Submarine,Germany,1936
U-3001,Type XXI-class Submarine,Germany,1944
U-3008,Type XXI-class Submarine,Germany,1944
U-3009,Type XXI-class Submarine,Germany,1944
U-3010,Type XXI-class Submarine,Germany,1944
U-3011,Type XXI-class Submarine,Germany,1944
U-3012,Type XXI-class Submarine,Germany,1944
U-3013,Type XXI-class Submarine,Germany,1944
U-3014,Type XXI-class Submarine,Germany,1944
U-3015,Type XXI-class Submarine,Germany,1944
U-3016,Type XXI-class Submarine,Germany,1944
U-3017,Type XXI-class Submarine,Germany,1944
U-3019,Type XXI-class Submarine,Germany,1944
U-3036,Type XXI-class Submarine,Germany,1945
U-3042,Type XXI-class Submarine,Germany,
U-3043,Type XXI-class Submarine,Germany,
U-3048,Type XXI-class Submarine,Germany,
U-3049,Type XXI-class Submarine,Germany,
U-3052,Type XXI-class Submarine,Germany,
U-3053,Type XXI-class Submarine,Germany,
U-3054,Type XXI-class Submarine,Germany,
U-3055,Type XXI-class Submarine,Germany,
U-3056,Type XXI-class Submarine,Germany,
U-3057,Type XXI-class Submarine,Germany,
U-3058,Type XXI-class Submarine,Germany,
U-3059,Type XXI-class Submarine,Germany,
U-3060,Type XXI-class Submarine,Germany,
U-3061,Type XXI-class Submarine,Germany,
U-3062,Type XXI-class Submarine,Germany,
U-3063,Type XXI-class Submarine,Germany,
U-31,Type VII-class Submarine,Germany,1936
U-32,Type VII-class Submarine,Germany,1937
U-33,Type VII-class Submarine,Germany,1936
U-331,Type VII-class Submarine,Germany,
U-332,Type VII-class Submarine,Germany,
U-333,Type VII-class Submarine,Germany,
U-334,Type VII-class Submarine,Germany,
U-34,Type VII-class Submarine,Germany,1936
U-35,Type VII-class Submarine,Germany,1936
U-3504,Type XXI-class Submarine,Germany,
U-3505,Type XXI-class Submarine,Germany,
U-3510,Type XXI-class Submarine,Germany,
U-3511,Type XXI-class Submarine,Germany,
U-3512,Type XXI-class Submarine,Germany,
U-3515,Type XXI-class Submarine,Germany,
U-3516,Type XXI-class Submarine,Germany,
U-3517,Type XXI-class Submarine,Germany,
U-3518,Type XXI-class Submarine,Germany,
U-3519,Type XXI-class Submarine,Germany,
U-3520,Type XXI-class Submarine,Germany,
U-3521,Type XXI-class Submarine,Germany,
U-3522,Type XXI-class Submarine,Germany,
U-3523,Type XXI-class Submarine,Germany,
U-3524,Type XXI-class Submarine,Germany,
U-3525,Type XXI-class Submarine,Germany,
U-3526,Type XXI-class Submarine,Germany,
U-3527,Type XXI-class Submarine,Germany,
U-3528,Type XXI-class Submarine,Germany,
U-3535,Type XXI-class Submarine,Germany,
U-3536,Type XXI-class Submarine,Germany,
U-3537,Type XXI-class Submarine,Germany,
U-3538,Type XXI-class Submarine,Germany,
U-3539,Type XXI-class Submarine,Germany,
U-3540,Type XXI-class Submarine,Germany,
U-3541,Type XXI-class Submarine,Germany,
U-3542,Type XXI-class Submarine,Germany,
U-36,Type VII-class Submarine,Germany,1936
U-37,Type IX-class Submarine,Germany,1938
U-373,Type VII-class Submarine,Germany,
U-38,Type IX-class Submarine,Germany,1938
U-382,Type VII-class Submarine,Germany,
U-39,Type IX-class Submarine,Germany,1938
U-4,Type II-class Submarine,Germany,1935
U-40,Type IX-class Submarine,Germany,1938
U-401,Type VII-class Submarine,Germany,
U-402,Type VII-class Submarine,Germany,
U-403,Type VII-class Submarine,Germany,
U-41,Type IX-class Submarine,Germany,1939
U-42,Type IX-class Submarine,Germany,1939
U-43,Type IX-class Submarine,Germany,1939
U-44,Type IX-class Submarine,Germany,1939
U-442,Type VII-class Submarine,Germany,
U-45,Type VII-class Submarine,Germany,1938
U-452,Type VII-class Submarine,Germany,
U-453,Type VII-class Submarine,Germany,
U-454,Type VII-class Submarine,Germany,
U-459,Type XIV-class Cargo Submarine,Germany,
U-46,Type VII-class Submarine,Germany,1938
U-460,Type XIV-class Cargo Submarine,Germany,
U-461,Type XIV-class Cargo Submarine,Germany,
U-462,Type XIV-class Cargo Submarine,Germany,
U-463,Type XIV-class Cargo Submarine,Germany,
U-464,Type XIV-class Cargo Submarine,Germany,
U-47,Type VII-class Submarine,Germany,1938
U-4714,Type XXIII-class Submarine,Germany,1945
U-48,Type VII-class Submarine,Germany,1939
U-49,Type VII-class Submarine,Germany,1939
U-491,Type XIV-class Cargo Submarine,Germany,
U-492,Type XIV-class Cargo Submarine,Germany,
U-493,Type XIV-class Cargo Submarine,Germany,
U-494,Type XIV-class Cargo Submarine,Germany,
U-5,Type II-class Submarine,Germany,1935
U-50,Type VII-class Submarine,Germany,1939
U-505,Type IX-class Submarine,Germany,1941
U-51,Type VII-class Submarine,Germany,1938
U-52,Type VII-class Submarine,Germany,1938
U-53,Type VII-class Submarine,Germany,1939
U-530,Type IX-class Submarine,Germany,1942
U-537,Type IX-class Submarine,Germany,
U-54,Type VII-class Submarine,Germany,1939
U-55,Type VII-class Submarine,Germany,1939
U-559,Type VII-class Submarine,Germany,1941
U-56,Type II-class Submarine,Germany,1938
U-57,Type II-class Submarine,Germany,1938
U-575,Type VII-class Submarine,Germany,1941
U-576,Type VII-class Submarine,Germany,1941
U-577,Type VII-class Submarine,Germany,1941
U-578,Type VII-class Submarine,Germany,1941
U-58,Type II-class Submarine,Germany,1938
U-59,Type II-class Submarine,Germany,1938
U-6,Type II-class Submarine,Germany,1935
U-60,Type II-class Submarine,Germany,1939
U-61,Type II-class Submarine,Germany,1939
U-62,Type II-class Submarine,Germany,1939
U-63,Type II-class Submarine,Germany,1939
U-64,Type IX-class Submarine,Germany,1939
U-65,Type IX-class Submarine,Germany,1939
U-66,Type IX-class Submarine,Germany,1940
U-67,Type IX-class Submarine,Germany,1940
U-68,Type IX-class Submarine,Germany,1940
U-684,Type VII-class Submarine,Germany,
U-685,Type VII-class Submarine,Germany,
U-686,Type VII-class Submarine,Germany,
U-687,Type VII-class Submarine,Germany,
U-688,Type VII-class Submarine,Germany,
U-689,Type VII-class Submarine,Germany,
U-69,Type VII-class Submarine,Germany,1940
U-7,Type II-class Submarine,Germany,1935
U-70,Type VII-class Submarine,Germany,1940
U-71,Type VII-class Submarine,Germany,1940
U-72,Type VII-class Submarine,Germany,1940
U-73,Type VII-class Submarine,Germany,1940
U-736,Type VII-class Submarine,Germany,
U-737,Type VII-class Submarine,Germany,
U-738,Type VII-class Submarine,Germany,
U-74,Type VII-class Submarine,Germany,1940
U-745,Type VII-class Submarine,Germany,
U-746,Type VII-class Submarine,Germany,
U-75,Type VII-class Submarine,Germany,1940
U-751,Type VII-class Submarine,Germany,1940
U-752,Type VII-class Submarine,Germany,1941
U-754,Type VII-class Submarine,Germany,1941
U-76,Type VII-class Submarine,Germany,1940
U-77,Type VII-class Submarine,Germany,1940
U-78,Type VII-class Submarine,Germany,1940
U-79,Type VII-class Submarine,Germany,1941
U-8,Type II-class Submarine,Germany,1935
U-80,Type VII-class Submarine,Germany,1941
U-81,Type VII-class Submarine,Germany,1941
U-82,Type VII-class Submarine,Germany,1941
U-821,Type VII-class Submarine,Germany,1943
U-822,Type VII-class Submarine,Germany,1944
U-83,Type VII-class Submarine,Germany,1940
U-84,Type VII-class Submarine,Germany,1941
U-85,Type VII-class Submarine,Germany,1941
U-86,Type VII-class Submarine,Germany,1941
U-860,Type IX-class Submarine,Germany,1943
U-869,Type IX-class Submarine,Germany,1943
U-87,Type VII-class Submarine,Germany,1941
U-88,Type VII-class Submarine,Germany,1941
U-89,Type VII-class Submarine,Germany,1941
U-9,Type II-class Submarine,Germany,1935
U-90,Type VII-class Submarine,Germany,1941
U-908,Type VII-class Submarine,Germany,
U-91,Type VII-class Submarine,Germany,1941
U-92,Type VII-class Submarine,Germany,1942
U-922,Type VII-class Submarine,Germany,
U-923,Type VII-class Submarine,Germany,
U-924,Type VII-class Submarine,Germany,
U-925,Type VII-class Submarine,Germany,
U-926,Type VII-class Submarine,Germany,
U-927,Type VII-class Submarine,Germany,
U-928,Type VII-class Submarine,Germany,
U-929,Type VII-class Submarine,Germany,
U-93,Type VII-class Submarine,Germany,1940
U-930,Type VII-class Submarine,Germany,
U-931,Type VII-class Submarine,Germany,
U-932,Type VII-class Submarine,Germany,
U-94,Type VII-class Submarine,Germany,1940
U-95,Type VII-class Submarine,Germany,1940
U-96,Type VII-class Submarine,Germany,1940
U-97,Type VII-class Submarine,Germany,1940
U-977,Type VII-class Submarine,Germany,1943
U-98,Type VII-class Submarine,Germany,1940
U-99,Type VII-class Submarine,Germany,1940
UA,Ay-class Submarine,Germany,1938
Unryu,Unryu-class Aircraft Carrier,Japan,1943
Unyo,Taiyo-class Escort Carrier,Japan,1939
Valiant,Queen Elizabeth-class Battleship,United Kingdom,1914
Vampire,V and W-class Destroyer,Australia,1917
Velite,Soldati-class Destroyer,Italy,
Vendetta,V and W-class Destroyer,Australia,1917
Veniero,Marcello-class Submarine,Italy,
Victorious,Illustrious-class Aircraft Carrier,United Kingdom,1939
Vincennes,New Orleans-class Heavy Cruiser,United States,1936
Vincenzo Gioberti,Oriani-class Destroyer,Italy,
Vittorio Alfieri,Oriani-class Destroyer,Italy,
Vittorio Veneto,Vittorio Veneto-class Battleship,Italy,1937
Voroshilov,Kirov-class Light Cruiser,Russia,1937
Väinämöinen,Väinämöinen-class Coastal Defense Ship,Finland,1932
Wahoo,Gato-class Submarine,United States,1942
Wake Island,Casablanca-class Escort Carrier,United States,1943
Waldemar Kophamel,Wilhelm Bauer-class Submarine Tender,Germany,1939
Waller,Fletcher-class Destroyer,United States,1942
Ward,Wickes-class Destroyer,United States,
Warspite,Queen Elizabeth-class Battleship,United Kingdom,1913
Washington,North Carolina-class Battleship,United States,1940
Wasp (Essex-class),Essex-class Aircraft Carrier,United States,1943
Wasp (Wasp-class),Wasp-class Aircraft Carrier,United States,1939
Waterhen,V and W-class Destroyer,Australia,1918
Wedderburn,Fletcher-class Destroyer,United States,1943
Weissesee,No Classification,Germany,
West Virginia,Colorado-class Battleship,United States,1921
Westcott,V and W-class Destroyer,United Kingdom,1918
Westfalen,No Classification,Germany,1905
Whale,Gato-class Submarine,United States,1942
Whitehall,V and W-class Destroyer,United Kingdom,1919
Wickes,Fletcher-class Destroyer,United States,1942
Widder,No Classification,Germany,1929
Wilhelm Bauer,Wilhelm Bauer-class Submarine Tender,Germany,1938
Wilhelm Gustloff,No Classification,Germany,1937
Wisconsin,Iowa-class Battleship,United States,1943
Wolf,1924-class Motor Torpedo Boat,Germany,1927
Wolverine,No Classification,United States,
X-class Summary Information,X-class Midget Submarine,United Kingdom,
Yahagi,Agano-class Light Cruiser,Japan,1942
Yamagumo,Asashio-class Destroyer,Japan,1938
Yamashiro,Fuso-class Battleship,Japan,1915
Yamato,Yamato-class Battleship,Japan,1940
Yingrui,Zhaohe-class Protected Cruiser,China,1911
York,York-class Heavy Cruiser,United Kingdom,1928
Yorktown (Essex-class),Essex-class Aircraft Carrier,United States,1943
Yorktown (Yorktown-class),Yorktown-class Aircraft Carrier,United States,1936
Young,Fletcher-class Destroyer,United States,1942
Yubari,Yubari-class Light Cruiser,Japan,1923
Yugure,Hatsuharu-class Destroyer,Japan,1934
Yukikaze,Kagero-class Destroyer,Japan,1939
Yura,Nagara-class Light Cruiser,Japan,1922
Yuzuki,Mutsuki-class Destroyer,Japan,1927
Z1 Leberecht Maass,1934-class Destroyer,Germany,1935
Z10 Hans Lody,1934A-class Destroyer,Germany,1936
Z11 Bernd Von Arnim,1934A-class Destroyer,Germany,1936
Z12 Erich Giese,1934A-class Destroyer,Germany,1937
Z13 Erich Koellner,1934A-class Destroyer,Germany,1937
Z14 Friedrich Ihn,1934A-class Destroyer,Germany,1935
Z15 Erich Steinbrinck,1934A-class Destroyer,Germany,1936
Z16 Friedrich Eckholdt,1934A-class Destroyer,Germany,1937
Z17 Diether von Roeder,1936-class Destroyer,Germany,1937
Z18 Hans Ludemann,1936-class Destroyer,Germany,1937
Z19 Hermann Kunne,1936-class Destroyer,Germany,1937
Z2 Georg Thiele,1934-class Destroyer,Germany,1935
Z20 Karl Galster,1936-class Destroyer,Germany,1938
Z21 Wilhelm Heidkamp,1936-class Destroyer,Germany,1938
Z22 Anton Schmitt,1936-class Destroyer,Germany,1938
Z23,1936A-class Destroyer,Germany,1939
Z24,1936A-class Destroyer,Germany,1940
Z25,1936A-class Destroyer,Germany,1940
Z26,1936A-class Destroyer,Germany,1940
Z27,1936A-class Destroyer,Germany,1940
Z28,1936A-class Destroyer,Germany,1940
Z29,1936A-class Destroyer,Germany,1940
Z3 Max Schultz,1934-class Destroyer,Germany,1935
Z30,1936A-class Destroyer,Germany,1940
Z31,1936A (Mob)-class Destroyer,Germany,1941
Z32,1936A (Mob)-class Destroyer,Germany,1941
Z33,1936A (Mob)-class Destroyer,Germany,1941
Z34,1936A (Mob)-class Destroyer,Germany,1942
Z35,1936B-class Destroyer,Germany,1942
Z36,1936B-class Destroyer,Germany,1943
Z37,1936A (Mob)-class Destroyer,Germany,1942
Z38,1936A (Mob)-class Destroyer,Germany,1941
Z39,1936A (Mob)-class Destroyer,Germany,1941
Z4 Richard Beitzen,1934-class Destroyer,Germany,1935
Z40 (Planned),1936B-class Destroyer,Germany,
Z41 (Planned),1936B-class Destroyer,Germany,
Z42 (Planned),1936B-class Destroyer,Germany,
Z43,1936B-class Destroyer,Germany,1943
Z44,1936B-class Destroyer,Germany,1944
Z45,1936B-class Destroyer,Germany,
Z46,1936C-class Destroyer,Germany,
Z47,1936C-class Destroyer,Germany,
Z48 (Planned),1936C-class Destroyer,Germany,
Z49 (Planned),1936C-class Destroyer,Germany,
Z5 Paul Jacobi,1934A-class Destroyer,Germany,1936
Z50 (Planned),1936C-class Destroyer,Germany,
Z51,1942-class Destroyer,Germany,1944
Z52,1944-class Destroyer,Germany,
Z53,1944-class Destroyer,Germany,
Z54,1944-class Destroyer,Germany,
Z55,1944-class Destroyer,Germany,
Z56,1944-class Destroyer,Germany,
Z57 (Planned),1944-class Destroyer,Germany,
Z58 (Planned),1944-class Destroyer,Germany,
Z6 Theodor Riedel,1934A-class Destroyer,Germany,1936
Z7 Hermann Schoemann,1934A-class Destroyer,Germany,1936
Z8 Bruno Heinemann,1934A-class Destroyer,Germany,1936
Z9 Wolfgang Zenker,1934A-class Destroyer,Germany,1936
Zara,Zara-class Heavy Cruiser,Italy,1930
Zhaohe,Zhaohe-class Protected Cruiser,China,1911
Zuiho,Zuiho-class Light Carrier,Japan,1936
Zuikaku,Shokaku-class Aircraft Carrier,Japan,1939
Émile Bertin,Émile Bertin-class Light Cruiser,France,1933